,URL,VERSION,DBLINK,SOURCE,ORGANISM,ISOLATE,ISOLATION_SOURCE,METAGENOME_SOURCE,COUNTRY
13,https://www.ncbi.nlm.nih.gov/protein/MCX9025393.1?report=genbank&log$=prottop&blast_rank=14&RID=XFEP5U7R016,MCX9025393.1,BioProject: PRJNA850006,accession JAPMTY010000055.1,Candidatus Methanoperedens sp.,SRVP 1,sediments of a seasonal vernal pool,sediment metagenome,"USA: California, Lake County"
14,https://www.ncbi.nlm.nih.gov/protein/MDZ7700833.1?report=genbank&log$=prottop&blast_rank=15&RID=XFEP5U7R016,MDZ7700833.1,BioProject: PRJNA1023877,accession JAXHME010000005.1,Halobacteriales archaeon,Salar_de_Ascotan_soil_MAG_ASO44,Salar de Ascotan soil,salt pan metagenome,Chile: Atacama desert
15,https://www.ncbi.nlm.nih.gov/protein/MBI2445173.1?report=genbank&log$=prottop&blast_rank=16&RID=XFEP5U7R016,MBI2445173.1,BioProject: PRJNA640378,accession JACPGT010000002.1,Candidatus Micrarchaeota archaeon,NC_groundwater_395_Ag_B-0.1um_58_13,groundwater,groundwater metagenome,"USA: California, Modesto"
16,https://www.ncbi.nlm.nih.gov/protein/HWR97857.1?report=genbank&log$=prottop&blast_rank=17&RID=XFEP5U7R016,HWR97857.1,BioProject: PRJNA983538,accession DATMXB010000196.1,Candidatus Methanoperedens sp.,SMAG_U13109,soil,soil metagenome,USA
17,https://www.ncbi.nlm.nih.gov/protein/MBE3136604.1?report=genbank&log$=prottop&blast_rank=18&RID=XFEP5U7R016,MBE3136604.1,BioProject: PRJNA596250,accession JADBKY010000055.1,Thermoplasmata archaeon,Bin2_7.2m,ancient permafrost soil,permafrost metagenome,"Russia: Siberia, Kolyma Indigirka Lowland
                     Region"
18,https://www.ncbi.nlm.nih.gov/protein/MCZ7357609.1?report=genbank&log$=prottop&blast_rank=19&RID=XFEP5U7R016,MCZ7357609.1,BioProject: PRJNA866293,accession JAPZAR010000027.1,Candidatus Methanoperedens sp.,SRVP18_hole-7m-from-trench_1_20cm_44_31,sediments of a seasonal vernal pool,sediment metagenome,"USA: California, Lake County"
19,https://www.ncbi.nlm.nih.gov/protein/NOL60813.1?report=genbank&log$=prottop&blast_rank=20&RID=XFEP5U7R016,NOL60813.1,BioProject: PRJNA630245,accession JABGBP010000306.1,Ferroplasma acidiphilum,,"Bioreactor treating cobaltiferous
                     pyrite",,France
20,https://www.ncbi.nlm.nih.gov/protein/MBS3076254.1?report=genbank&log$=prottop&blast_rank=21&RID=XFEP5U7R016,MBS3076254.1,BioProject: PRJNA288027,accession JAGVWV010000012.1,Candidatus Pacearchaeota archaeon,RIFOXYC1_FULL_33_130,"Rifle well CD01 at 16ft depth; 0.1
                     micron filter at time point C",groundwater metagenome,"USA: Rifle, CO"
21,https://www.ncbi.nlm.nih.gov/protein/WP_009887486.1?report=genbank&log$=prottop&blast_rank=22&RID=XFEP5U7R0,WP_009887486.1,,Ferroplasma,Ferroplasma,,,,
22,https://www.ncbi.nlm.nih.gov/protein/HEX9906870.1?report=genbank&log$=prottop&blast_rank=23&RID=XFEP5U7R016,HEX9906870.1,BioProject: PRJNA983538,accession DASWLL010000002.1,Thermoplasmata archaeon,SMAG_U2947,soil,soil metagenome,USA: Oregon
23,https://www.ncbi.nlm.nih.gov/protein/WP_236942555.1?report=genbank&log$=prottop&blast_rank=24&RID=XFEP5U7R0,WP_236942555.1,,Ferroplasma acidiphilum,Ferroplasma acidiphilum,,,,
24,https://www.ncbi.nlm.nih.gov/protein/MDO8556421.1?report=genbank&log$=prottop&blast_rank=25&RID=XFEP5U7R016,MDO8556421.1,BioProject: PRJNA700657,accession JAUSGY010000045.1,Nanoarchaeota archaeon,E14_metabat.bin.158,groundwater,groundwater metagenome,Canada: Alberta
25,https://www.ncbi.nlm.nih.gov/protein/HME56504.1?report=genbank&log$=prottop&blast_rank=26&RID=XFEP5U7R016,HME56504.1,BioProject: PRJNA983538,accession DATFYG010000136.1,Candidatus Lokiarchaeia archaeon,SMAG_U9537,soil,soil metagenome,Canada
26,https://www.ncbi.nlm.nih.gov/protein/MBU4075636.1?report=genbank&log$=prottop&blast_rank=27&RID=XFEP5U7R016,MBU4075636.1,BioProject: PRJNA627556,accession JAHIHJ010000087.1,Euryarchaeota archaeon,KR11_N3.mb.44,Olkiluoto,groundwater metagenome,Finland
27,https://www.ncbi.nlm.nih.gov/protein/MDO8661418.1?report=genbank&log$=prottop&blast_rank=28&RID=XFEP5U7R016,MDO8661418.1,BioProject: PRJNA700657,accession JAUSEM010000422.1,Candidatus Woesearchaeota archaeon,E14_maxbin.197,groundwater,groundwater metagenome,Canada: Alberta
28,https://www.ncbi.nlm.nih.gov/protein/MDZ7701400.1?report=genbank&log$=prottop&blast_rank=29&RID=XFEP5U7R016,MDZ7701400.1,BioProject: PRJNA1023877,accession JAXHME010000016.1,Halobacteriales archaeon,Salar_de_Ascotan_soil_MAG_ASO44,Salar de Ascotan soil,salt pan metagenome,Chile: Atacama desert
29,https://www.ncbi.nlm.nih.gov/protein/MDO8517311.1?report=genbank&log$=prottop&blast_rank=30&RID=XFEP5U7R016,MDO8517311.1,BioProject: PRJNA700657,accession JAUSIT010000033.1,Nanoarchaeota archaeon,E14_metabat.bin.268,groundwater,groundwater metagenome,Canada: Alberta
30,https://www.ncbi.nlm.nih.gov/protein/OGS56693.1?report=genbank&log$=prottop&blast_rank=31&RID=XFEP5U7R016,OGS56693.1,BioProject: PRJNA288027,accession MGWC01000017.1,Euryarchaeota archaeon RBG_19FT_COMBO_56_21,,"Rifle background sediment; well D04 at
                     19ft depth",subsurface metagenome,"USA: Rifle, CO"
31,https://www.ncbi.nlm.nih.gov/protein/MBU1915386.1?report=genbank&log$=prottop&blast_rank=32&RID=XFEP5U7R016,MBU1915386.1,BioProject: PRJNA627556,accession JAHJFY010000226.1,Candidatus Thermoplasmatota archaeon,Modern_marine_glass_biofilm.mb.48,Aspo HRL,groundwater metagenome,Sweden
32,https://www.ncbi.nlm.nih.gov/protein/MDO8554794.1?report=genbank&log$=prottop&blast_rank=33&RID=XFEP5U7R016,MDO8554794.1,BioProject: PRJNA700657,accession JAUSHJ010000071.1,Candidatus Micrarchaeota archaeon,E14_metabat.bin.186,groundwater,groundwater metagenome,Canada: Alberta
33,https://www.ncbi.nlm.nih.gov/protein/MDO8873153.1?report=genbank&log$=prottop&blast_rank=34&RID=XFEP5U7R016,MDO8873153.1,BioProject: PRJNA700657,accession JAUSBW010000182.1,Methanoregula sp.,E9_concoct.bin.36,groundwater,groundwater metagenome,Canada: Alberta
34,https://www.ncbi.nlm.nih.gov/protein/MBX8636586.1?report=genbank&log$=prottop&blast_rank=35&RID=XFEP5U7R016,MBX8636586.1,BioProject: PRJNA719487,accession JAHEAB010000046.1,Candidatus Sysuiplasma acidicola,TUT19-bin.121,mine tailing,mine drainage metagenome,"China: Yongping Copper Mine, Jiangxi Province"
35,https://www.ncbi.nlm.nih.gov/protein/MCL6015072.1?report=genbank&log$=prottop&blast_rank=36&RID=XFEP5U7R016,MCL6015072.1,BioProject: PRJNA666095,accession JAMDCG010000087.1,Candidatus Thermoplasmatota archaeon,FK_Sedi_B_Bin.182,"Fankou acid mine drainage sediment Core
                     B",mine drainage metagenome,China: Guangdong
36,https://www.ncbi.nlm.nih.gov/protein/MBI2445175.1?report=genbank&log$=prottop&blast_rank=37&RID=XFEP5U7R016,MBI2445175.1,BioProject: PRJNA640378,accession JACPGT010000002.1,Candidatus Micrarchaeota archaeon,NC_groundwater_395_Ag_B-0.1um_58_13,groundwater,groundwater metagenome,"USA: California, Modesto"
37,https://www.ncbi.nlm.nih.gov/protein/MCU4801588.1?report=genbank&log$=prottop&blast_rank=38&RID=XFEP5U7R016,MCU4801588.1,BioProject: PRJNA881971,accession JAOPKE010000006.1,Halobacteria archaeon HArc-gm2,,"sediment and brine samples obtained
                     from hypersaline lake",,Russia: Altai Region
38,https://www.ncbi.nlm.nih.gov/protein/MDH2905673.1?report=genbank&log$=prottop&blast_rank=39&RID=XFEP5U7R016,MDH2905673.1,BioProject: PRJNA907387,accession JARCRV010000076.1,Methanomassiliicoccales archaeon,Maxine5,acid mine drainage sediment,mine drainage metagenome,"USA: Alabama, Maxine Mine GOB"
39,https://www.ncbi.nlm.nih.gov/protein/MBU0685189.1?report=genbank&log$=prottop&blast_rank=40&RID=XFEP5U7R016,MBU0685189.1,BioProject: PRJNA627556,accession JAHIZT010000072.1,Candidatus Thermoplasmatota archaeon,Modern_marine.mb.192,Aspo HRL,groundwater metagenome,Sweden
40,https://www.ncbi.nlm.nih.gov/protein/MDO8873550.1?report=genbank&log$=prottop&blast_rank=41&RID=XFEP5U7R016,MDO8873550.1,BioProject: PRJNA700657,accession JAUSBW010000218.1,Methanoregula sp.,E9_concoct.bin.36,groundwater,groundwater metagenome,Canada: Alberta
41,https://www.ncbi.nlm.nih.gov/protein/HME19337.1?report=genbank&log$=prottop&blast_rank=42&RID=XFEP5U7R016,HME19337.1,BioProject: PRJNA983538,accession DATFYP010000129.1,Nitrososphaerales archaeon,SMAG_U9546,soil,soil metagenome,Canada
42,https://www.ncbi.nlm.nih.gov/protein/PJE81337.1?report=genbank&log$=prottop&blast_rank=43&RID=XFEP5U7R016,PJE81337.1,BioProject: PRJNA362739,accession PFCZ01000024.1,Candidatus Pacearchaeota archaeon,CG10_big_fil_rev_8_21_14_0_10_32_42,groundwater,groundwater metagenome,"USA: Crystal Geyser near Green River, Utah"
43,https://www.ncbi.nlm.nih.gov/protein/HSA35139.1?report=genbank&log$=prottop&blast_rank=44&RID=XFEP5U7R016,HSA35139.1,BioProject: PRJNA925477,accession DAOTCB010000024.1,Methanomassiliicoccales archaeon,AMR_MDS_3192,"Activated sludge of municipal
                     wastewater treatment plants",wastewater metagenome,USA
44,https://www.ncbi.nlm.nih.gov/protein/MDO8554799.1?report=genbank&log$=prottop&blast_rank=45&RID=XFEP5U7R016,MDO8554799.1,BioProject: PRJNA700657,accession JAUSHJ010000071.1,Candidatus Micrarchaeota archaeon,E14_metabat.bin.186,groundwater,groundwater metagenome,Canada: Alberta
45,https://www.ncbi.nlm.nih.gov/protein/HPR97773.1?report=genbank&log$=prottop&blast_rank=46&RID=XFEP5U7R016,HPR97773.1,BioProject: PRJNA925477,accession DAONGL010000001.1,Methanomassiliicoccales archaeon,AMR_MDS_3818,"Activated sludge of municipal
                     wastewater treatment plants",wastewater metagenome,Japan
46,https://www.ncbi.nlm.nih.gov/protein/HNX46997.1?report=genbank&log$=prottop&blast_rank=47&RID=XFEP5U7R016,HNX46997.1,BioProject: PRJNA925477,accession DAOPZI010000001.1,Methanomassiliicoccales archaeon,AMR_MDS_1292,"Activated sludge of municipal
                     wastewater treatment plants",wastewater metagenome,Japan
47,https://www.ncbi.nlm.nih.gov/protein/MDO8725985.1?report=genbank&log$=prottop&blast_rank=48&RID=XFEP5U7R016,MDO8725985.1,BioProject: PRJNA700657,accession JAUSDC010000108.1,Candidatus Methanoperedens sp.,E14_concoct.bin.71,groundwater,groundwater metagenome,Canada: Alberta
48,https://www.ncbi.nlm.nih.gov/protein/KHO48997.1?report=genbank&log$=prottop&blast_rank=49&RID=XFEP5U7R016,KHO48997.1,BioProject: PRJNA268032,accession JWKN01000001.1,archaeon GW2011_AR1,,"Rifle groundwater metagenome at time 5
                     / E; 0.1 micron filter",groundwater metagenome,"USA: Rifle, CO"
49,https://www.ncbi.nlm.nih.gov/protein/MCX6652634.1?report=genbank&log$=prottop&blast_rank=50&RID=XFEP5U7R016,MCX6652634.1,BioProject: PRJNA852163,accession JAPKYJ010000019.1,Methanomassiliicoccales archaeon,LacPavin_0920_SED5_MAG_59_16,lake sediment,freshwater sediment metagenome,"France: Besse-et-Saint-Anastaise, Lac Pavin"
50,https://www.ncbi.nlm.nih.gov/protein/OGS55662.1?report=genbank&log$=prottop&blast_rank=51&RID=XFEP5U7R016,OGS55662.1,BioProject: PRJNA288027,accession MGWC01000052.1,Euryarchaeota archaeon RBG_19FT_COMBO_56_21,,"Rifle background sediment; well D04 at
                     19ft depth",subsurface metagenome,"USA: Rifle, CO"
51,https://www.ncbi.nlm.nih.gov/protein/MBW4258520.1?report=genbank&log$=prottop&blast_rank=52&RID=XFEP5U7R016,MBW4258520.1,BioProject: PRJNA733324,accession JAHQCO010000002.1,Methanobacterium sp. YSL,,sediment,,China:Yantai
52,https://www.ncbi.nlm.nih.gov/protein/HME56501.1?report=genbank&log$=prottop&blast_rank=53&RID=XFEP5U7R016,HME56501.1,BioProject: PRJNA983538,accession DATFYG010000136.1,Candidatus Lokiarchaeia archaeon,SMAG_U9537,soil,soil metagenome,Canada
53,https://www.ncbi.nlm.nih.gov/protein/HIH23586.1?report=genbank&log$=prottop&blast_rank=54&RID=XFEP5U7R016 ,HIH23586.1,BioProject: PRJNA593905,accession DUGD01000009.1,Candidatus Woesearchaeota archaeon,UBA10207,groundwater,groundwater metagenome,"USA: Rifle, CO"
54,https://www.ncbi.nlm.nih.gov/protein/MDO8537943.1?report=genbank&log$=prottop&blast_rank=55&RID=XFEP5U7R016,MDO8537943.1,BioProject: PRJNA700657,accession JAUSIB010000042.1,archaeon,E14_metabat.bin.219,groundwater,groundwater metagenome,Canada: Alberta
55,https://www.ncbi.nlm.nih.gov/protein/WP_077076086.1?report=genbank&log$=prottop&blast_rank=56&RID=XFEP5U7R0,WP_077076086.1,,Cuniculiplasma divulgatum,Cuniculiplasma divulgatum,,,,
56,https://www.ncbi.nlm.nih.gov/protein/HEX7391906.1?report=genbank&log$=prottop&blast_rank=57&RID=XFEP5U7R016,HEX7391906.1,BioProject: PRJNA983538,accession DASVHH010000040.1,Thermoplasmata archaeon,SMAG_U2961,soil,soil metagenome,USA: Oregon
57,https://www.ncbi.nlm.nih.gov/protein/HIH03457.1?report=genbank&log$=prottop&blast_rank=58&RID=XFEP5U7R016 ,HIH03457.1,BioProject: PRJNA593905,accession DUGU01000182.1,Methanoregulaceae archaeon,UBA11384,hydrocarbon,hydrocarbon metagenome,"Canada: Syncrude tailings pond, Wood Buffalo,
                     Alberta"
58,https://www.ncbi.nlm.nih.gov/protein/SJK84579.1?report=genbank&log$=prottop&blast_rank=59&RID=XFEP5U7R016 ,SJK84579.1,BioProject: PRJEB12275,embl accession LT719092.1,Cuniculiplasma divulgatum,,acidic streamer,,
59,https://www.ncbi.nlm.nih.gov/protein/WP_298275473.1?report=genbank&log$=prottop&blast_rank=60&RID=XFEP5U7R0,WP_298275473.1,,Ferroplasma sp.,Ferroplasma sp.,,,,
60,https://www.ncbi.nlm.nih.gov/protein/MDO8528707.1?report=genbank&log$=prottop&blast_rank=61&RID=XFEP5U7R016,MDO8528707.1,BioProject: PRJNA700657,accession JAUSIC010000012.1,Nanoarchaeota archaeon,E14_metabat.bin.221,groundwater,groundwater metagenome,Canada: Alberta
61,https://www.ncbi.nlm.nih.gov/protein/HIJ17456.1?report=genbank&log$=prottop&blast_rank=62&RID=XFEP5U7R016 ,HIJ17456.1,BioProject: PRJNA593905,accession DUKU01000136.1,Thermoplasmata archaeon,UBA9653,groundwater,groundwater metagenome,USA: Rifle CO
62,https://www.ncbi.nlm.nih.gov/protein/MDP2901087.1?report=genbank&log$=prottop&blast_rank=63&RID=XFEP5U7R016,MDP2901087.1,BioProject: PRJNA700657,accession JAUYEB010000258.1,Candidatus Bathyarchaeota archaeon,C20_metabat.bin.87,groundwater,groundwater metagenome,Canada: Alberta
63,https://www.ncbi.nlm.nih.gov/protein/HLC61509.1?report=genbank&log$=prottop&blast_rank=64&RID=XFEP5U7R016 ,HLC61509.1,BioProject: PRJNA983538,accession DATDYS010000005.1,Candidatus Nanoarchaeia archaeon,SMAG_U8171,soil,soil metagenome,USA
64,https://www.ncbi.nlm.nih.gov/protein/MBU0685601.1?report=genbank&log$=prottop&blast_rank=65&RID=XFEP5U7R016,MBU0685601.1,BioProject: PRJNA627556,accession JAHIZT010000098.1,Candidatus Thermoplasmatota archaeon,Modern_marine.mb.192,Aspo HRL,groundwater metagenome,Sweden
65,https://www.ncbi.nlm.nih.gov/protein/MDP3992097.1?report=genbank&log$=prottop&blast_rank=66&RID=XFEP5U7R016,MDP3992097.1,BioProject: PRJNA700657,accession JAUYKN010000018.1,Nanoarchaeota archaeon,C24_metabat.bin.197_sub,groundwater,groundwater metagenome,Canada: Alberta
66,https://www.ncbi.nlm.nih.gov/protein/MDO8537288.1?report=genbank&log$=prottop&blast_rank=67&RID=XFEP5U7R016,MDO8537288.1,BioProject: PRJNA700657,accession JAUSIB010000003.1,archaeon,E14_metabat.bin.219,groundwater,groundwater metagenome,Canada: Alberta
67,https://www.ncbi.nlm.nih.gov/protein/WP_238709336.1?report=genbank&log$=prottop&blast_rank=68&RID=XFEP5U7R0,WP_238709336.1,,Natronorubrum halophilum,Natronorubrum halophilum,,,,
68,https://www.ncbi.nlm.nih.gov/protein/MDZ7687581.1?report=genbank&log$=prottop&blast_rank=69&RID=XFEP5U7R016,MDZ7687581.1,BioProject: PRJNA1023877,accession JAXHLL010000001.1,Halobacteriales archaeon,Salar_de_Ascotan_soil_MAG_ASO16,Salar de Ascotan soil,salt pan metagenome,Chile: Atacama desert
69,https://www.ncbi.nlm.nih.gov/protein/MDP2628948.1?report=genbank&log$=prottop&blast_rank=70&RID=XFEP5U7R016,MDP2628948.1,BioProject: PRJNA700657,accession JAUYIO010000078.1,Nanoarchaeota archaeon,C24_maxbin.320,groundwater,groundwater metagenome,Canada: Alberta
70,https://www.ncbi.nlm.nih.gov/protein/MDD1689652.1?report=genbank&log$=prottop&blast_rank=71&RID=XFEP5U7R016,MDD1689652.1,BioProject: PRJNA338276,accession JAJRCF010000004.1,Methanoregula sp.,OWC_0057,freshwater wetland soil,wetland metagenome,"USA: Ohio, Old Woman Creek NERR"
71,https://www.ncbi.nlm.nih.gov/protein/MDA4113734.1?report=genbank&log$=prottop&blast_rank=72&RID=XFEP5U7R016,MDA4113734.1,BioProject: PRJNA883052,accession JAPCJS010000056.1,Nitrososphaerota archaeon,AcS4-109,acidic soil,soil metagenome,"United Kingdom: Scotland, Dochfour"
72,https://www.ncbi.nlm.nih.gov/protein/MCJ7463854.1?report=genbank&log$=prottop&blast_rank=73&RID=XFEP5U7R016,MCJ7463854.1,BioProject: PRJNA821074,accession JALHSX010000131.1,Thermoplasmata archaeon,PFL9,"Polar Fox Lagoon sediment taken using
                     3m corer (60 mm diameter)",sediment metagenome,"Russia: Bykovsky Peninsula,Polar Fox Lagoon"
73,https://www.ncbi.nlm.nih.gov/protein/WP_276255516.1?report=genbank&log$=prottop&blast_rank=74&RID=XFEP5U7R0,WP_276255516.1,,Halovivax sp. TS33,Halovivax sp. TS33,,,,
74,https://www.ncbi.nlm.nih.gov/protein/WP_198324425.1?report=genbank&log$=prottop&blast_rank=75&RID=XFEP5U7R0,WP_198324425.1,,Methanoregula boonei,Methanoregula boonei,,,,
75,https://www.ncbi.nlm.nih.gov/protein/ABS56009.1?report=genbank&log$=prottop&blast_rank=76&RID=XFEP5U7R016 ,ABS56009.1,BioProject: PRJNA18505,accession CP000780.1,Methanoregula boonei 6A8,,,,
76,https://www.ncbi.nlm.nih.gov/protein/MBU0685600.1?report=genbank&log$=prottop&blast_rank=77&RID=XFEP5U7R016,MBU0685600.1,BioProject: PRJNA627556,accession JAHIZT010000098.1,Candidatus Thermoplasmatota archaeon,Modern_marine.mb.192,Aspo HRL,groundwater metagenome,Sweden
77,https://www.ncbi.nlm.nih.gov/protein/HIH50485.1?report=genbank&log$=prottop&blast_rank=78&RID=XFEP5U7R016 ,HIH50485.1,BioProject: PRJNA593905,accession DUHZ01000067.1,Candidatus Micrarchaeota archaeon,UBA12276,soil,soil metagenome,USA: Minnesota
78,https://www.ncbi.nlm.nih.gov/protein/WP_089671545.1?report=genbank&log$=prottop&blast_rank=79&RID=XFEP5U7R0,WP_089671545.1,,Halohasta litchfieldiae,Halohasta litchfieldiae,,,,
79,https://www.ncbi.nlm.nih.gov/protein/ACL15585.1?report=genbank&log$=prottop&blast_rank=80&RID=XFEP5U7R016 ,ACL15585.1,BioProject: PRJNA29381,accession CP001338.1,Methanosphaerula palustris E1-9c,,organically rich wetland,,USA: New York
80,https://www.ncbi.nlm.nih.gov/protein/MDD3174919.1?report=genbank&log$=prottop&blast_rank=81&RID=XFEP5U7R016,MDD3174919.1,BioProject: PRJNA900590,accession JAQUYS010000002.1,Candidatus Nanoarchaeia archaeon,STD2_242,"NEUS_D2 leachate from a leachate well
                     at an active municipal landfill in the North Eastern
                     United States",landfill metagenome,USA
81,https://www.ncbi.nlm.nih.gov/protein/HEX9906871.1?report=genbank&log$=prottop&blast_rank=82&RID=XFEP5U7R016,HEX9906871.1,BioProject: PRJNA983538,accession DASWLL010000002.1,Thermoplasmata archaeon,SMAG_U2947,soil,soil metagenome,USA: Oregon
82,https://www.ncbi.nlm.nih.gov/protein/HMF30516.1?report=genbank&log$=prottop&blast_rank=83&RID=XFEP5U7R016 ,HMF30516.1,BioProject: PRJNA983538,accession DATFYH010000119.1,Candidatus Lokiarchaeia archaeon,SMAG_U9538,soil,soil metagenome,Canada
83,https://www.ncbi.nlm.nih.gov/protein/WP_255169182.1?report=genbank&log$=prottop&blast_rank=84&RID=XFEP5U7R0,WP_255169182.1,,Natrononativus amylolyticus,Natrononativus amylolyticus,,,,
84,https://www.ncbi.nlm.nih.gov/protein/MCU4972809.1?report=genbank&log$=prottop&blast_rank=85&RID=XFEP5U7R016,MCU4972809.1,BioProject: PRJNA881971,accession JAOPKB010000003.1,Halobacteria archaeon AArc-m2/3/4,,"sediment and brine samples obtained
                     from hypersaline lake",,Russia: Altai Region
85,https://www.ncbi.nlm.nih.gov/protein/MCU4740543.1?report=genbank&log$=prottop&blast_rank=86&RID=XFEP5U7R016,MCU4740543.1,BioProject: PRJNA881971,accession JAOPKA010000002.1,Halobacteria archaeon AArc-xg1-1,,"sediment and brine samples obtained
                     from hypersaline lake",,Russia: Altai Region
86,https://www.ncbi.nlm.nih.gov/protein/ELZ12651.1?report=genbank&log$=prottop&blast_rank=87&RID=XFEP5U7R016 ,ELZ12651.1,BioProject: PRJNA174928,accession AOIQ01000008.1,Halovivax asiaticus JCM 14624,,,,
87,https://www.ncbi.nlm.nih.gov/protein/WP_241430159.1?report=genbank&log$=prottop&blast_rank=88&RID=XFEP5U7R0,WP_241430159.1,,Halovivax asiaticus,Halovivax asiaticus,,,,
88,https://www.ncbi.nlm.nih.gov/protein/MDO8511584.1?report=genbank&log$=prottop&blast_rank=89&RID=XFEP5U7R016,MDO8511584.1,BioProject: PRJNA700657,accession JAUSJN010000071.1,Nanoarchaeota archaeon,E14_metabat.bin.302,groundwater,groundwater metagenome,Canada: Alberta
89,https://www.ncbi.nlm.nih.gov/protein/MDD1743077.1?report=genbank&log$=prottop&blast_rank=90&RID=XFEP5U7R016,MDD1743077.1,BioProject: PRJNA338276,accession JAJRAM010000017.1,Methanomassiliicoccales archaeon,OWC_0012,freshwater wetland soil,wetland metagenome,"USA: Ohio, Old Woman Creek NERR"
90,https://www.ncbi.nlm.nih.gov/protein/MBW4258519.1?report=genbank&log$=prottop&blast_rank=91&RID=XFEP5U7R016,MBW4258519.1,BioProject: PRJNA733324,accession JAHQCO010000002.1,Methanobacterium sp. YSL,,sediment,,China:Yantai
91,https://www.ncbi.nlm.nih.gov/protein/MBU1914646.1?report=genbank&log$=prottop&blast_rank=92&RID=XFEP5U7R016,MBU1914646.1,BioProject: PRJNA627556,accession JAHJFY010000140.1,Candidatus Thermoplasmatota archaeon,Modern_marine_glass_biofilm.mb.48,Aspo HRL,groundwater metagenome,Sweden
